# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3875.252  1.6839e+01  1.1074e+00           0           0
  3876.145  1.7459e+01  1.1187e+00           0           0
  3877.037  1.9573e+01  1.1681e+00           0           0
  3877.930  1.8380e+01  1.1362e+00           0           0
  3878.823  1.8048e+01  1.0926e+00           0           0
  3879.716  1.9443e+01  1.1012e+00           0           0
  3880.610  1.9270e+01  1.1256e+00           0           0
  3881.503  1.8248e+01  1.1330e+00           0           0
  3882.397  1.9478e+01  1.1464e+00           0           0
  3883.291  1.9379e+01  1.1343e+00           0           0
  3884.186  1.9823e+01  1.1341e+00           0           0
  3885.080  1.8078e+01  1.1251e+00           0           0
  3885.975  1.8326e+01  1.1357e+00           0           0
  3886.870  2.0024e+01  1.1280e+00           0           0
  3887.765  1.8459e+01  1.1214e+00           0           0
  3888.660  1.8078e+01  1.1957e+00           0           0
  3889.556  1.9907e+01  1.2878e+00           0           0
  3890.451  2.0460e+01  1.2753e+00           0           0
  3891.347  1.9090e+01  1.1609e+00           0           0
  3892.243  1.6751e+01  1.0680e+00           0           0
  3893.140  1.5557e+01  1.0529e+00           0           0
  3894.036  1.8065e+01  1.0860e+00           0           0
  3894.933  1.6584e+01  1.0994e+00           0           0
  3895.830  1.9047e+01  1.1271e+00           0           0
  3896.727  1.8567e+01  1.1346e+00           0           0
  3897.624  1.5910e+01  1.0834e+00           0           0
  3898.522  1.8563e+01  1.0902e+00           0           0
  3899.420  1.6262e+01  1.0611e+00           0           0
  3900.318  1.7490e+01  1.0624e+00           0           0
  3901.216  1.8294e+01  1.0954e+00           0           0
  3902.114  1.7708e+01  1.0935e+00           0           0
  3903.013  1.7594e+01  1.1013e+00           0           0
  3903.912  1.8714e+01  1.1096e+00           0           0
  3904.811  1.8551e+01  1.0909e+00           0           0
  3905.710  1.8739e+01  1.1085e+00           0           0
  3906.609  1.7410e+01  1.0972e+00           0           0
  3907.509  1.8130e+01  1.1359e+00           0           0
  3908.409  2.0017e+01  1.1728e+00           0           0
  3909.309  1.8554e+01  1.1682e+00           0           0
  3910.209  1.7396e+01  1.1100e+00           0           0
  3911.110  1.7012e+01  1.1158e+00           0           0
